8,Miami (FLA.),ACC,7.95,150,&nbsp;,8,8,8,7,8,8,8,8,10,7,7,8,10,7,8,7,8,9,7,10,9,8,8,8,8,8,8,8,8,8,Miami (FLA.)
8,Northwestern,Big Ten,8.83,150,&nbsp;,8,9,9,8,10,9,8,8,9,7,9,9,10,11,8,9,8,8,9,9,8,9,10,10,9,10,8,9,9,8,Northwestern
9,Virginia Tech,ACC,8.43,150,&nbsp;,9,8,8,8,9,7,9,9,9,8,8,9,12,10,9,8,7,9,8,9,9,8,8,9,9,8,8,8,9,9,Virginia Tech
9,Seton Hall,Big East,9.69,150,&nbsp;,10,10,10,11,9,10,9,12,11,8,9,8,12,10,10,10,10,11,9,9,11,10,9,11,8,10,11,10,11,9,Seton Hall
9,Vanderbilt,SEC,10.07,149,&nbsp;,10,10,9,10,11,8,10,10,8,11,11,11,9,9,10,9,10,10,12,11,10,12,11,9,9,10,9,11,8,10,Vanderbilt
9,Michigan State,Big Ten,10.18,149,&nbsp;,10,10,10,10,9,10,10,10,8,11,10,10,11,11,10,10,10,11,10,11,11,11,10,10,10,9,10,10,9,10,Michigan State
10,Wichita State,Missouri Valley,8.31,150,&nbsp;,7,7,10,8,9,10,7,7,8,8,8,8,8,9,9,8,8,7,8,7,7,9,8,9,10,9,7,8,11,8,Wichita State
10,Oklahoma State,Big 12,8.93,150,&nbsp;,8,9,11,9,6,11,8,11,8,10,9,11,9,8,11,8,9,8,8,10,10,8,8,9,10,9,10,9,9,8,Oklahoma State
10,VCU,Atlantic 10,9.03,150,&nbsp;,9,9,8,10,10,9,10,9,10,9,10,9,7,10,10,10,9,9,9,8,8,9,10,8,9,9,10,9,10,11,VCU
10,Marquette,Big East,10.12,148,&nbsp;,11,10,9,9,&nbsp;,11,10,10,12,10,10,9,11,8,9,11,11,11,11,11,10,11,9,10,11,10,9,10,10,10,Marquette
11,Xavier,Big East,10.26,150,&nbsp;,11,11,9,11,10,10,11,9,10,11,10,11,9,8,11,10,10,10,10,9,9,10,10,8,10,12,10,11,10,9,Xavier
11,Wake Forest,ACC,11.01,148,&nbsp;,11,11,11,11,11,11,11,10,11,12,12,11,9,11,12,11,11,10,11,11,11,10,11,11,11,11,11,11,10,11,Wake Forest
11,Providence,Big East,10.94,143,&nbsp;,10,11,11,11,12,11,11,11,11,10,11,10,11,11,11,11,11,12,&nbsp;,12,12,12,12,11,11,11,11,11,12,11,Providence
11,Rhode Island,Atlantic 10,10.80,142,&nbsp;,11,12,11,11,11,11,11,11,9,9,11,10,8,10,11,11,11,10,11,12,11,11,11,11,11,11,11,11,11,12,Rhode Island
11,Kansas State,Big 12,11.40,132,&nbsp;,12,12,12,12,11,12,&nbsp;,11,&nbsp;,11,12,12,11,11,12,&nbsp;,12,11,11,12,12,11,12,11,11,11,12,12,11,11,Kansas State
11,USC,Pacific-12,11.41,127,&nbsp;,&nbsp;,12,12,12,&nbsp;,12,11,12,11,12,&nbsp;,12,12,11,11,11,12,&nbsp;,10,11,11,10,11,11,&nbsp;,&nbsp;,12,&nbsp;,12,11,USC
12,Middle Tennessee,CUSA,11.04,150,&nbsp;,11,11,11,10,10,12,12,11,11,10,11,11,12,12,9,12,11,11,11,8,10,12,11,12,12,12,11,10,11,11,Middle Tennessee
